,STATION,Day of Week,ENTRIES
396,30 AV,4,15036.861111111111
397,30 AV,5,5141.018867924528
398,30 AV,6,3855.0377358490564
399,33 ST,0,27315.155172413793
400,33 ST,1,30246.568965517243
401,33 ST,2,30358.043103448275
402,33 ST,3,30408.025862068964
403,33 ST,4,28175.793103448275
404,33 ST,5,10736.603448275862
405,33 ST,6,8275.396551724138
406,33 ST-RAWSON ST,0,9221.172413793103
407,33 ST-RAWSON ST,1,10156.0
408,33 ST-RAWSON ST,2,10353.396551724138
409,33 ST-RAWSON ST,3,10443.206896551725
410,33 ST-RAWSON ST,4,8252.344827586207
411,33 ST-RAWSON ST,5,2440.4310344827586
412,33 ST-RAWSON ST,6,1347.5862068965516
413,34 ST-HERALD SQ,0,103356.31355932204
414,34 ST-HERALD SQ,1,109811.99152542373
415,34 ST-HERALD SQ,2,114603.79661016949
416,34 ST-HERALD SQ,3,111593.27118644067
417,34 ST-HERALD SQ,4,110421.5
418,34 ST-HERALD SQ,5,58464.41525423729
419,34 ST-HERALD SQ,6,48572.23728813559
420,34 ST-HUDSON YD,0,11479.103448275862
421,34 ST-HUDSON YD,1,12284.051724137931
422,34 ST-HUDSON YD,2,12524.672413793103
423,34 ST-HUDSON YD,3,12717.344827586207
424,34 ST-HUDSON YD,4,12485.103448275862
425,34 ST-HUDSON YD,5,6645.603448275862
426,34 ST-HUDSON YD,6,5425.120689655172
427,34 ST-PENN STA,0,144719.9745762712
428,34 ST-PENN STA,1,154444.9745762712
429,34 ST-PENN STA,2,150665.07627118644
430,34 ST-PENN STA,3,153938.38983050847
431,34 ST-PENN STA,4,138927.4745762712
432,34 ST-PENN STA,5,73499.34745762713
433,34 ST-PENN STA,6,63376.85593220339
434,36 AV,0,7322.943396226415
435,36 AV,1,7822.490566037736
436,36 AV,2,7952.166666666667
437,36 AV,3,8037.694444444444
438,36 AV,4,7717.407407407408
439,36 AV,5,2537.0943396226417
440,36 AV,6,1942.1509433962265
441,36 ST,0,16400.601694915254
442,36 ST,1,17678.101694915254
443,36 ST,2,18290.101694915254
444,36 ST,3,18276.322033898305
445,36 ST,4,17393.627118644068
446,36 ST,5,10784.745762711864
447,36 ST,6,7793.78813559322
448,39 AV,0,2351.7241379310344
449,39 AV,1,2841.8571428571427
450,39 AV,2,2891.4285714285716
451,39 AV,3,2931.25
452,39 AV,4,2564.103448275862
453,39 AV,5,822.0
454,39 AV,6,587.6206896551724
455,4 AV-9 ST,0,3012.5172413793102
456,4 AV-9 ST,1,3226.103448275862
457,4 AV-9 ST,2,3288.844827586207
458,4 AV-9 ST,3,3284.6724137931033
459,4 AV-9 ST,4,3224.810344827586
460,4 AV-9 ST,5,1885.8620689655172
461,4 AV-9 ST,6,1482.5344827586207
462,40 ST LOWERY ST,0,8853.862068965518
463,40 ST LOWERY ST,1,9426.896551724138
464,40 ST LOWERY ST,2,9692.0
465,40 ST LOWERY ST,3,9671.465517241379
466,40 ST LOWERY ST,4,9544.620689655172
